,S11,S21,S31,S12,S22,S32,S13,S23,S33,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31
4.0,(-0.0212200279350806-0.0371579175540979j),(-0.867414667392116+0.495742666261647j),(-2.39773722923033e-05-5.14138484982255e-05j),(-0.867414667392114+0.495742666261646j),(-0.0212447135364354-0.0371438098083365j),(1.65764147821447e-05+5.39047338964261e-05j),(-2.3977372292299e-05-5.14138484982187e-05j),(1.65764147821435e-05+5.39047338964184e-05j),(0.985054929172879-0.172240471763804j),-27.37311555480241,-0.007959236696904959,-84.92373717734752,-119.72968902966727,150.25127762562616,-115.0024723512214
4.001,(-0.02122970661515714-0.03716364866146548j),(-0.8673499584817639+0.4958550277118168j),(-2.40344398090004e-05-5.152282029367011e-05j),(-0.8673499584817621+0.4958550277118157j),(-0.02125437400736403-0.03714954664019521j),(1.661676676341675e-05+5.402000786057263e-05j),(-2.403443980899594e-05-5.152282029366325e-05j),(1.661676676341559e-05+5.402000786056479e-05j),(0.9850474550109666-0.1722832110832473j),-27.371131199217377,-0.007962880037510386,-84.90494342682996,-119.73713563199311,150.24384174377073,-115.00817841639743
4.002,(-0.02123938709001267-0.03716937756930307j),(-0.8672852347668998+0.4959673809879248j),(-2.409171518691647e-05-5.163217974586303e-05j),(-0.867285234766898+0.4959673809879238j),(-0.02126403615360092-0.03715528134927312j),(1.665726655874572e-05+5.41356927887411e-05j),(-2.409171518691186e-05-5.163217974585611e-05j),(1.665726655874462e-05+5.413569278873315e-05j),(0.9850399789199474-0.1723259505071169j),-27.36914735705849,-0.007966524090059613,-84.88612321374939,-119.74458237903465,150.23640584126213,-115.01388445515919
4.003,(-0.02124906936061701-0.03717510427888847j),(-0.8672204962472858+0.4960797260899753j),(-2.414919951654586e-05-5.174192888105366e-05j),(-0.8672204962472837+0.496079726089974j),(-0.02127369997553848-0.03716101393723431j),(1.669791494419084e-05+5.425179082984467e-05j),(-2.414919951654109e-05-5.174192888104671e-05j),(1.669791494418976e-05+5.425179082983655e-05j),(0.9850325008993921-0.1723686900375342j),-27.367164027645824,-0.00797016885529482,-84.86727644761768,-119.7520292712513,150.22896991796634,-115.01959046755826
4.004,(-0.02125875342795155-0.03718082879151129j),(-0.867155742922675+0.4961920630179859j),(-2.420689389597394e-05-5.185206973958337e-05j),(-0.8671557429226732+0.4961920630179847j),(-0.02128336547357667-0.03716674440575734j),(1.673871270121427e-05+5.436830414774293e-05j),(-2.420689389596901e-05-5.185206973957638e-05j),(1.673871270121323e-05+5.436830414773467e-05j),(0.9850250209488673-0.1724114296766354j),-27.365181210296722,-0.007973814333954325,-84.84840303747804,-119.75947630910632,150.22153397374828,-115.02529645364798
4.005,(-0.02126843929300931-0.03718655110847301j),(-0.8670909747928107+0.4963043917719877j),(-2.426479943094346e-05-5.196260437600844e-05j),(-0.8670909747928088+0.4963043917719867j),(-0.02129303264812314-0.03717247275653535j),(1.677966061672835e-05+5.448523492137255e-05j),(-2.426479943093838e-05-5.19626043760014e-05j),(1.677966061672735e-05+5.448523492136413e-05j),(0.9850175390679377-0.1724541694265725j),-27.36319890432583,-0.007977460526789965,-84.82950289190163,-119.76692349306681,150.21409800847204,-115.03100241348388
4.006,(-0.02127812695679505-0.03719227123108706j),(-0.8670261918574267+0.4964167123520251j),(-2.432291723492115e-05-5.207353485922371e-05j),(-0.8670261918574248+0.496416712352024j),(-0.02130270149959316-0.03717819899127621j),(1.682075948314294e-05+5.460258534487816e-05j),(-2.432291723491591e-05-5.207353485921659e-05j),(1.682075948314198e-05+5.460258534486962e-05j),(0.9850100552561641-0.1724969092895127j),-27.361217109045043,-0.007981107434554536,-84.81057591898437,-119.77437082360368,150.2066620220007,-115.0367083471233
4.007,(-0.02128781642032539-0.03719798916067896j),(-0.8669613941162465+0.4965290247581561j),(-2.438124842916531e-05-5.218486327258799e-05j),(-0.8669613941162445+0.496529024758155j),(-0.02131237202840987-0.03718392311170262j),(1.686201009841361e-05+5.472035762774572e-05j),(-2.438124842915993e-05-5.218486327258083e-05j),(1.686201009841269e-05+5.472035762773702e-05j),(0.9850025695131046-0.1725396492676391j),-27.359235823763484,-0.007984755058015321,-84.79162202634357,-119.78181830119188,150.1992260141964,-115.04241425462568
4.008,(-0.02129750768462891-0.03720370489858645j),(-0.8668965815689845+0.4966413289904528j),(-2.443979414279414e-05-5.229659171405089e-05j),(-0.8668965815689824+0.4966413289904517j),(-0.02132204423500419-0.03718964511955225j),(1.690341326609021e-05+5.483855399493666e-05j),(-2.443979414278857e-05-5.229659171404366e-05j),(1.690341326608934e-05+5.483855399492781e-05j),(0.9849950818383135-0.1725823893631507j),-27.35725504778747,-0.007988403397935738,-84.77264112111457,-119.78926592631024,150.1917899849203,-115.04812013605246
4.009,(-0.02130720075074622-0.03720941844615949j),(-0.8668317542153442+0.4967536250490006j),(-2.449855551285431e-05-5.240872229628012e-05j),(-0.8668317542153422+0.4967536250489994j),(-0.02133171811981499-0.03719536501657789j),(1.694496979536577e-05+5.495717668702311e-05j),(-2.449855551284859e-05-5.240872229627285e-05j),(1.694496979536493e-05+5.49571766870141e-05j),(0.9849875922313427-0.1726251295782623j),-27.35527478042051,-0.007992052455099482,-84.75363310994739,-119.79671369944161,150.18435393403257,-115.0538259914671
